# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 14:27:19 2025
#                        
# Element                            : Br
# Z                                  : 35
# A                                  : 79
# I                                  : 0
# Abundancy                       [%]: 50.69
# Data origin                        : jeff4.0
# Formalism                          : Multi-level Breit-Wigner
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 8.091000E+03 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 269
# Number of resonances (<Emax2)      : 269
# Thermal  (n,g) xs (calculated) [b.]: 1.028140E+01 
# Res. Int (n,g) (calculated)    [b.]: 1.320840E+02  
# MACS 30 keV (calculated)       [b.]: 5.771600E-01
# Westcott factor (calculated)       : 1.000910E+00
#
# Thermal (n,el) xs (calculated) [b.]: 6.026590E+00 
# Res. Int (n,el) (calculated)   [b.]: 1.222270E+02 
#
# Scattering radius              [fm]: 6.88 
#
# Average Gtotal   l=0           [eV]: 1.350190E+00 
# Average reduced (Gn^0) Gn l=0  [eV]: 1.741420E-02 
# Average Gg       l=0           [eV]: 3.092420E-01 
# Average level spacing D0 (l=0) [eV]: 6.856780E+01 
# Neutron strength function S0 (l=0) : 1.378360E-04 
#
# Average Gtotal   l=1           [eV]: 3.271110E-01 
# Average reduced (Gn^1) Gn l=1  [eV]: 3.307690E-02 
# Average Gg       l=1           [eV]: 3.092400E-01 
# Average level spacing D1 (l=1) [eV]: 5.504080E+01 
# Neutron strength function S1 (l=1) : 1.764700E-04 
#
#
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -3.066000E+02      6.447500E-02     0       +2.00      4.250000E+00    2.234300E-02    3.130000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.803000E+02      5.894400E-02     0       +1.00      3.207800E+00    1.686400E-02    3.130000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.580000E+01      7.528000E-03     0       +2.00      4.308000E-02    2.260000E-04    3.250000E-01    1.625000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.370000E+01      1.129300E-02     0       +1.00      3.318700E-02    1.740000E-04    3.900000E-01    1.950000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.579000E+02      3.320500E-02     1       +3.00      3.890000E-04    2.000000E-06    3.092400E-01    1.546200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.895000E+02      3.985000E-02     0       +1.00      7.333300E-02    3.860000E-04    2.400000E-01    1.200000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.925000E+02      4.048100E-02     0       +2.00      2.960000E-03    1.600000E-05    3.092400E-01    1.546200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.116000E+02      4.449700E-02     1       +3.00      7.030000E-04    4.000000E-06    3.092400E-01    1.546200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.389000E+02      5.023800E-02     0       +2.00      5.680000E-01    2.986000E-03    3.000000E-01    1.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.925000E+02      6.151000E-02     1       +3.00      6.860000E-04    4.000000E-06    3.092400E-01    1.546200E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.943000E+02      6.188800E-02     0       +1.00      6.866700E-02    3.610000E-04    2.600000E-01    1.300000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.186000E+02      6.699800E-02     0       +2.00      5.424000E-01    2.852000E-03    2.900000E-01    1.450000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
