# D. Rochman  TARES version 1.71, Villigen   , Switzerland
# Time: Sun Nov  2 12:40:49 2025
#                        
# Element                            : Pb
# Z                                  : 82
# A                                  : 208
# I                                  : 0
# Abundancy                       [%]: 52.4
# Data origin                        : jendl5.0
# Formalism                          : Reich-Moore
# Emin (RRR)                     [eV]: 1e-5  
# Emax (RRR)                     [eV]: 1.000000E+06 
# Emax2 (background)             [eV]: 2.000000E+07 
# Number of resonances (<Emax)       : 71
# Number of resonances (<Emax2)      : 78
# Thermal  (n,g) xs (calculated) [b.]: 2.301880E-04 
# Res. Int (n,g) (calculated)    [b.]: 1.659700E-03  
# MACS 30 keV (calculated)       [b.]: 2.310600E-04
# Westcott factor (calculated)       : 1.000560E+00
#
# Thermal (n,el) xs (calculated) [b.]: 1.142960E+01 
# Res. Int (n,el) (calculated)   [b.]: 1.548880E+02 
#
# Scattering radius              [fm]: 9.75 
# Scattering radius L= 0         [fm]: 9.75 +/- 5.00 %
# Scattering radius L= 1         [fm]: 9.75 +/- 5.00 %
# Scattering radius L= 2         [fm]: 9.75 +/- 5.00 %
# Scattering radius L= 3         [fm]: 9.75 +/- 5.00 %
#
# Average reduced (Gn^0) Gn l=0  [eV]: 2.835190E+01 
# Average Gg       l=0           [eV]: 9.666670E-02 
# Average level spacing D0 (l=0) [eV]: 5.000000E+05 
# Neutron strength function S0 (l=0) : 8.505580E-05 
#
# Average reduced (Gn^1) Gn l=1  [eV]: 1.846600E+00 
# Average Gg       l=1           [eV]: 3.509370E-01 
# Average level spacing D1 (l=1) [eV]: 3.846150E+04 
# Neutron strength function S1 (l=1) : 2.706420E-05 
#
# Average reduced (Gn^2) Gn l=2  [eV]: 9.290230E+00 
# Average Gg       l=2           [eV]: 3.897070E-01 
# Average level spacing D2 (l=2) [eV]: 7.142860E+04 
# Neutron strength function S2 (l=2) : 6.851130E-05 
#
# Average reduced (Gn^3) Gn l=3  [eV]: 3.343930E+00 
# Average Gg       l=3           [eV]: 4.253810E-01 
# Average level spacing D3 (l=3) [eV]: 5.000000E+04 
# Neutron strength function S3 (l=3) : 3.339860E-05 
#
#          
#   Energy (eV)     +/- DE (eV)       l         J          Gn (eV)       +/- DGn (eV)       Gg (eV)      +/- DGg (eV)       Gf1 (eV)     +/- DGf1 (eV)       Gf2 (eV)     +/- DGf2 (eV)    Origin  
#<---------------><---------------><-----><-----------><--------------><--------------><--------------><--------------><--------------><--------------><---------------><--------------><---------->
  -4.000000E+06      1.286440E+03     1       +0.50      5.009300E+06    4.027542E+04    1.800000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -4.000000E+06      1.286440E+03     1       +1.50      6.681200E+06    5.371771E+04    1.800000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -2.370000E+06      7.622157E+02     2       +2.50      3.084900E+04    2.480300E+02    1.800000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.910000E+06      6.142751E+02     0       +0.50      3.730710E+05    2.999539E+03    6.000000E-02    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  -1.400000E+06      4.502540E+02     2       +1.50      2.582200E+06    2.076122E+04    1.800000E-01    0.000000E+00    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.329000E+04      1.392250E+01     1       +1.50      1.355000E-02    1.090000E-04    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.726000E+04      1.519929E+01     2       +1.50      2.000000E-02    1.610000E-04    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.120000E+04      2.289863E+01     1       +1.50      1.010000E+02    8.120530E-01    1.240000E-02    6.200000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.820000E+04      2.514990E+01     1       +1.50      9.580000E+02    7.702445E+00    1.250000E-01    6.250000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.660000E+04      2.785142E+01     1       +0.50      7.540000E+01    6.062260E-01    1.520000E-02    7.600000E-04    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.173000E+05      3.772485E+01     1       +1.50      3.170000E+02    2.548721E+00    2.700000E-02    1.350000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.302000E+05      4.187362E+01     2       +1.50      1.455000E+01    1.169840E-01    1.017000E-01    5.085000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.532500E+05      4.928673E+01     1       +1.50      1.050000E+01    8.442100E-02    2.670000E-02    1.335000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.630000E+05      5.242243E+01     1       +1.50      8.200000E+00    6.592900E-02    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.680000E+05      5.403048E+01     2       +2.50      7.600000E+00    6.110500E-02    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.685300E+05      5.420093E+01     1       +1.50      2.840000E+01    2.283400E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.693800E+05      5.447430E+01     2       +1.50      2.190000E+01    1.760790E-01    7.390000E-02    3.695000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +1.935000E+05      6.223154E+01     1       +0.50      5.146000E-01    4.137000E-03    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.701000E+05      8.686686E+01     2       +1.50      1.200000E+02    9.648160E-01    9.000000E-02    4.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +2.779900E+05      8.940437E+01     1       +0.50      3.150000E+02    2.532641E+00    1.680000E-01    8.400000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.242300E+05      1.042756E+02     1       +1.50      1.350000E+02    1.085418E+00    5.000000E-02    2.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.540000E+05      1.138499E+02     3       +2.50      2.300000E+01    1.849230E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +3.541000E+05      1.138821E+02     2       +1.50      4.989000E+03    4.011221E+01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.071000E+05      1.309274E+02     1       +1.50      2.220000E+02    1.784909E+00    1.280000E+00    6.400000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.184000E+05      1.345616E+02     1       +1.50      7.600000E+01    6.110500E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.383000E+05      1.409617E+02     3       +2.50      1.050000E+01    8.442100E-02    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +4.894000E+05      1.573959E+02     1       +0.50      2.992000E+03    2.405607E+01    8.000000E-01    4.000000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.057000E+05      1.626382E+02     1       +1.50      1.940000E+02    1.559785E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.060000E+05      1.627347E+02     0       +0.50      5.359000E+04    4.308706E+02    1.700000E-01    8.500000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.271000E+05      1.695206E+02     2       +2.50      4.623330E+03    3.717218E+01    1.733000E+00    8.665000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.639000E+05      1.813559E+02     1       +0.50      5.310000E+02    4.269309E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.676000E+05      1.825458E+02     3       +3.50      1.620000E+01    1.302500E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.708000E+05      1.835750E+02     2       +1.50      9.900000E+00    7.959700E-02    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.836000E+05      1.876916E+02     3       +2.50      3.400000E+01    2.733640E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +5.976000E+05      1.921941E+02     3       +2.50      7.400000E+01    5.949700E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.091000E+05      1.958927E+02     3       +2.50      1.190000E+02    9.567750E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.130000E+05      1.971469E+02     3       +3.50      1.600000E+02    1.286421E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.159000E+05      1.980796E+02     2       +2.50      3.000000E+01    2.412040E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.349000E+05      2.041902E+02     3       +2.50      6.230000E+02    5.009001E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.361000E+05      2.045761E+02     3       +3.50      2.930000E+02    2.355758E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.868000E+05      2.208817E+02     3       +2.50      2.576670E+02    2.071676E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.932000E+05      2.229400E+02     3       +2.50      7.400000E+01    5.949700E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +6.995000E+05      2.249662E+02     2       +2.50      3.040000E+02    2.444200E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.210000E+05      2.318808E+02     2       +2.50      3.938000E+03    3.166203E+01    2.047000E+00    1.023500E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.217000E+05      2.321059E+02     1       +1.50      5.640000E+02    4.534633E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.230000E+05      2.325240E+02     3       +3.50      1.650000E+02    1.326621E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.391000E+05      2.377020E+02     3       +2.50      1.930000E+02    1.551745E+00    1.713000E+00    8.565000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.643000E+05      2.458065E+02     1       +1.50      2.643000E+03    2.125006E+01    2.091000E+00    1.045500E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.649000E+05      2.459995E+02     3       +3.50      3.690000E+02    2.966808E+00    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +7.861000E+05      2.528176E+02     3       +2.50      1.160000E+02    9.326550E-01    2.880000E+00    1.440000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.141000E+05      2.618227E+02     3       +3.50      1.140000E+02    9.165750E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.144000E+05      2.619192E+02     1       +0.50      3.750000E+02    3.015049E+00    2.000000E+00    1.000000E-01    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.157000E+05      2.623373E+02     2       +2.50      8.916000E+03    7.168580E+01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.240000E+05      2.650067E+02     3       +2.50      2.210000E+02    1.776869E+00    1.100000E+00    5.500000E-02    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
  +8.321000E+05      2.676117E+02     3       +3.50      8.000000E+01    6.432100E-01    1.800000E-01    9.000000E-03    +0.000000E+00   0.000000E+00    +0.000000E+00   0.000000E+00     evaluated 
